-551,119,34,624,-465,-13,45,119,1119,5
-70,144,55,639,-458,-1336,24,139,1094,5
-70,144,55,646,-455,0,24,139,1094,5
-70,144,55,646,-455,0,20,138,1135,5
-70,144,55,646,-464,-13,20,138,1135,5
-78,150,-1432,622,-453,-1348,49,144,1132,5
-78,150,-1432,637,-457,-1348,49,144,1132,5
-59,92,61,637,-457,-1348,49,144,1132,5
-59,92,61,637,-457,-1348,49,139,1149,5
-59,92,61,618,-448,-32,49,139,1149,5
-127,133,-1384,628,-439,-22,42,121,1181,5
-127,133,-1384,628,-439,-22,40,100,171,5
-160,161,-1412,625,-476,-27,40,100,171,5
-160,161,-1412,640,-473,0,40,100,171,5
-160,161,-1412,640,-473,0,15,113,1166,5
-160,161,-1412,626,-460,-15,15,113,1166,5
-137,151,-1399,654,-472,-39,48,114,163,5
-137,151,-1399,654,-472,-39,42,117,1183,5
-137,151,-1399,638,-465,-53,42,117,1183,5
-137,151,-1399,638,-465,-53,8,113,1162,5
-111,141,79,634,-471,-1361,41,112,1165,5
-732,154,-1378,636,-464,-37,35,129,192,5
33,-17,15,18,-64,-48,17,37,1123,0
33,-17,15,18,-64,-48,17,54,1135,0
33,-17,15,36,-60,-52,17,54,1135,0
33,-17,15,28,-72,-40,17,54,1135,0
37,-5,-8,28,-72,-40,39,40,1140,0
37,-5,-8,18,-34,-41,39,40,1140,0
32,-14,-15,21,-45,-39,6,39,1141,0
32,-14,-15,20,-35,-1339,6,39,1141,0
32,-14,-15,20,-35,-1339,0,20,1139,0
32,-14,-15,24,-38,-46,0,20,1139,0
34,-32,-12,17,-48,-1348,11,27,1143,0
34,-32,-12,23,-42,-55,11,27,1143,0
34,-32,-12,23,-42,-55,29,22,1139,0
34,-32,-12,13,-36,-1349,29,22,1139,0
20,-34,6,16,-32,-1355,18,19,1164,0
20,-34,6,16,-32,-1355,29,26,1146,0
29,-42,-9,33,-33,-1359,12,33,1163,0
29,-42,-9,34,-35,-1347,12,33,1163,0
32,-36,0,34,-35,-1347,30,34,173,0
32,-36,0,24,-52,-1358,30,34,173,0
32,-36,0,24,-52,-1358,33,26,1168,0
30,-40,14,24,-52,-1358,33,26,1168,0
30,-40,14,48,-50,-1366,33,26,1168,0
30,-40,14,48,-50,-1366,17,36,164,0
49,-46,-17,24,-43,-1356,21,35,1165,0
49,-46,-17,23,-44,-1362,21,35,1165,0
49,-46,-17,23,-44,-1362,34,44,1184,0
41,-48,8,20,-47,-1351,22,49,1159,0
41,-48,8,21,-62,-1361,22,49,1159,0
41,-48,8,21,-62,-1361,25,40,164,0
27,-30,11,10,-53,-1354,25,40,164,0
27,-30,11,10,-53,-1354,38,46,1160,0
43,-50,-20,23,-60,-1362,31,48,1164,0
43,-50,-20,23,-60,-1362,37,28,169,0
43,-50,-20,36,-57,-1350,37,28,169,0
43,-50,-20,36,-57,-1350,38,39,1174,0
45,-45,5,36,-57,-1350,38,39,1174,0
45,-45,5,30,-55,-1339,38,39,1174,0
62,-47,-1,10,-60,-1358,44,55,1185,0
62,-47,-1,45,-54,-1376,44,55,1185,0
62,-47,-1,31,-43,-1362,44,55,1185,0
35,-59,1,31,-43,-1362,29,35,172,0
35,-59,1,38,-42,-1375,29,35,172,0
42,-61,-14,28,-59,-1373,24,43,168,0
42,-61,-14,28,-59,-1373,42,44,168,0
42,-61,-14,20,-51,-1344,42,44,168,0
60,-65,4,20,-51,-1344,42,44,168,0
60,-65,4,38,-55,-1373,42,44,168,0
57,-48,19,43,-75,-1362,37,50,1185,0
55,-71,13,29,-60,-1345,45,48,178,0
-135,47,73,1700,-480,8,74,46,1099,2
-135,47,73,1700,-480,8,71,40,1081,2
-135,47,73,18,-441,-5190,71,40,1081,2
292,70,20,18,-441,-5190,71,40,1081,2
292,70,20,-7,-417,-5178,71,40,1081,2
