-10,-18,32,-1518,-23,-1,0
-3,-25,35,-1518,-23,-1,0
-3,-25,35,9,-2,3,0
-10,-28,-2,9,-2,3,0
-10,-28,-2,6,-25,526,0
-11,-13,26,6,-25,526,0
-11,-13,26,0,-21,-9,0
-4,-21,34,0,-21,-9,0
-4,-21,34,-3,-14,-31,0
-15,-7,50,-3,-14,-31,0
-12,-21,30,-3,-14,-31,0
-12,-21,30,-4,-8,-26,0
-2,-6,19,-4,-8,-26,0
-2,-6,19,-20,-11,-19,0
-13,-12,22,-20,-11,-19,0
-13,-12,22,-14,4,-10,0
6,-4,34,-14,4,-10,0
6,-4,34,-11,0,2,0
0,-7,12,-11,0,2,0
0,-7,12,-11,-13,0,0
-10,9,34,-11,-13,0,0
-11,-10,2,-11,-13,0,0
-11,-10,2,-13,3,5,0
-4,-3,21,-13,3,5,0
-4,-3,21,-11,-4,-14,0
-4,-18,20,-11,-4,-14,0
-4,-18,20,0,-11,2,0
-3,-6,10,0,-11,2,0
-3,-6,10,-13,-1,525,0
3,-11,-5,-13,-1,525,0
3,-11,-5,11,-30,6,0
-21,-37,-2,11,-30,6,0
-21,-37,-2,-8,-11,-10,0
-19,-10,20,-8,-11,-10,0
-4,-20,8,-8,-11,-10,0
-4,-20,8,-1519,-14,-22,0
14,-8,-6,-1519,-14,-22,0
14,-8,-6,14,2,-12,0
-6,2,20,14,2,-12,0
-6,2,20,3,-8,520,0
-1,-16,4,3,-8,520,0
-1,-16,4,-7,-1,5,0
-7,1,-8,-7,-1,5,0
-7,1,-8,-4,-1,6,0
-13,7,4,-4,-1,6,0
0,12,7,-4,-1,6,0
0,12,7,-10,1,5,0
-8,2,0,-10,1,5,0
-8,2,0,-13,24,-15,0
0,9,3,-13,24,-15,0
0,9,3,1,4,-16,0
-5,3,22,1,4,-16,0
-5,3,22,-15,26,-12,0
0,-7,0,-15,26,-12,0
0,-7,0,-5,-1,-13,0
-1,2,5,-5,-1,-13,0
-7,7,-8,-5,-1,-13,0
-7,7,-8,-18,11,-26,0
18,9,27,-18,11,-26,0
18,9,27,-3,11,2,0
10,-11,-17,-3,11,2,0
10,-11,-17,6,7,-24,0
7,18,21,6,7,-24,0
7,18,21,-8,0,-29,0
6,3,29,-8,0,-29,0
6,3,29,-6,14,-34,0
12,3,29,-6,14,-34,0
12,3,29,-5,26,-14,0
-1,7,8,-5,26,-14,0
11,-10,18,-5,26,-14,0
11,-10,18,-18,6,-19,0
2,-6,20,-18,6,-19,0
2,-6,20,11,3,-23,0
16,0,39,11,3,-23,0
16,0,39,-5,14,-5,0
6,11,11,-5,14,-5,0
6,11,11,-5,7,-41,0
3,13,-5,-5,7,-41,0
3,13,-5,0,4,-28,0
25,11,18,0,4,-28,0
3,27,18,0,4,-28,0
3,27,18,-4,2,-21,0
15,25,37,-4,2,-21,0
15,25,37,-4,6,-18,0
-2,13,21,-4,6,-18,0
-2,13,21,-5,4,-14,0
10,1,29,-5,4,-14,0
10,1,29,9,3,-23,0
-7,-2,29,9,3,-23,0
-7,-2,29,-9,10,-18,0
-8,4,3,-9,10,-18,0
-8,4,3,-13,-10,-24,0
10,7,30,-13,-10,-24,0
4,-5,55,-13,-10,-24,0
4,-5,55,-19,18,-47,0
7,-11,20,-19,18,-47,0
7,-11,20,-10,17,-33,0
-8,1,41,-10,17,-33,0
-8,1,41,-9,0,-40,0
30,7,15,-9,0,-40,0
30,7,15,-4,20,-19,0
0,-9,17,-4,20,-19,0
0,-9,17,-10,-15,-28,0
17,6,-5,-10,-15,-28,0
2,12,1,-10,-15,-28,0
2,12,1,6,7,-12,0
14,-22,11,6,7,-12,0
14,-22,11,-17,15,-28,0
10,-14,22,-17,15,-28,0
10,-14,22,13,-2,-32,0
677,-32,77,-87,-1728,-2,1
686,-45,64,-87,-1728,-2,1
686,-45,64,-118,-1739,531,1
688,-35,-1451,-118,-1739,531,1
