-9,26,-1428,1428,803,551,625,1157,1
-9,26,-1428,1428,-63,8,542,546,1
704,-57,25,707,-63,8,542,546,1
704,-57,25,707,844,-97,1805,1995,1
705,17,-1443,1606,844,-97,1805,1995,1
-32,37,-1417,1418,844,-97,1805,1995,1
-32,37,-1417,1418,-47,-6515,628,6545,1
-21,-83,-7,86,-47,-6515,628,6545,1
-21,-83,-7,86,99,-21,620,628,1
-10,39,-1436,1437,99,-21,620,628,1
-10,39,-1436,1437,-92,-64,574,585,1
699,-2,-1465,1623,-92,-64,574,585,1
699,-2,-1465,1623,-233,2350,537,2422,1
704,-22,39,705,-233,2350,537,2422,1
704,-22,39,705,-119,-67,-567,583,1
-33,52,-1407,1408,-119,-67,-567,583,1
-35,-64,-11,74,-119,-67,-567,583,1
-35,-64,-11,74,-4,2185,2559,3365,1
-31,51,-1392,1393,-4,2185,2559,3365,1
-31,51,-1392,1393,-4329,-51,-774,4398,1
-53,-16,-1448,1449,-4329,-51,-774,4398,1
-53,-16,-1448,1449,-56,-66,631,637,1
-42,34,-1429,1430,-56,-66,631,637,1
-42,34,-1429,1430,-120,8,-581,593,1
-11,46,-1409,1410,-120,8,-581,593,1
-11,46,-1409,1410,372,-64,577,689,1
-4,-54,-36,65,372,-64,577,689,1
16,68,-1397,1399,372,-64,577,689,1
16,68,-1397,1399,-64,-19,622,626,1
-31,-52,-20,64,-64,-19,622,626,1
-31,-52,-20,64,-237,2130,546,2212,1
-15,53,-1415,1416,-237,2130,546,2212,1
-15,53,-1415,1416,-100,-5093,577,5127,1
-43,0,47,64,-100,-5093,577,5127,1
-43,0,47,64,-224,2168,2716,3482,1
-40,28,-1434,1435,-224,2168,2716,3482,1
-40,28,-1434,1435,-102,-19,-808,815,1
-23,38,-1422,1423,-102,-19,-808,815,1
-23,38,-1422,1423,-169,-75,537,568,1
-36,-64,1,73,-169,-75,537,568,1
26,65,-1422,1424,-169,-75,537,568,1
26,65,-1422,1424,-118,-4764,-1021,4874,1
-15,-28,17,36,-118,-4764,-1021,4874,1
-15,-28,17,36,-84,-52,2466,2468,1
-22,84,-1436,1439,-84,-52,2466,2468,1
-22,84,-1436,1439,-4792,-6571,-1585,8286,1
-20,53,-1412,1413,-4792,-6571,-1585,8286,1
-20,53,-1412,1413,-62,1882,2578,3192,1
-36,-30,4,47,-62,1882,2578,3192,1
-36,-30,4,47,-4003,-6001,-1031,7287,1
15,67,-1454,1456,-4003,-6001,-1031,7287,1
15,67,-1454,1456,-86,-97,2572,2575,1
-7,-28,-28,40,-86,-97,2572,2575,1
5,69,-1432,1434,-86,-97,2572,2575,1
5,69,-1432,1434,-4499,-78,-1042,4619,1
-38,17,56,70,-4499,-78,-1042,4619,1
-38,17,56,70,388,-54,2788,2815,1
-53,32,-1470,1471,388,-54,2788,2815,1
-53,32,-1470,1471,-105,-37,647,657,1
16,77,-1425,1427,-105,-37,647,657,1
16,77,-1425,1427,-30,-1430,1193,1863,1
-14,-31,-29,45,-30,-1430,1193,1863,1
-14,-31,-29,45,378,-5860,652,5908,1
-7,81,-1404,1406,378,-5860,652,5908,1
-35,63,-1411,1413,378,-5860,652,5908,1
-35,63,-1411,1413,-916,-31,-1008,1362,1
-38,40,-1462,1463,-916,-31,-1008,1362,1
-38,40,-1462,1463,298,-84,-50,314,1
9,54,-1432,1433,298,-84,-50,314,1
9,54,-1432,1433,35,-91,-90,133,1
-28,-31,15,44,35,-91,-90,133,1
-28,-31,15,44,1092,-62,607,1251,1
12,56,-1410,1411,1092,-62,607,1251,1
12,56,-1410,1411,566,-4563,-97,4599,1
-29,-14,55,64,566,-4563,-97,4599,1
-24,50,-1417,1418,566,-4563,-97,4599,1
-24,50,-1417,1418,-29,-100,732,739,1
-21,54,-1426,1427,-29,-100,732,739,1
-21,54,-1426,1427,607,-88,-574,840,1
-39,-12,39,56,607,-88,-574,840,1
-39,-12,39,56,837,-910,1265,1769,1
14,70,-1407,1409,837,-910,1265,1769,1
14,70,-1407,1409,-57,-5057,-507,5083,1
-30,4,-1444,1444,-57,-5057,-507,5083,1
-30,4,-1444,1444,77,-110,576,591,1
-46,27,-1453,1454,77,-110,576,591,1
33,95,-1425,1429,77,-110,576,591,1
33,95,-1425,1429,-60,-4318,-1065,4448,1
-7,-35,-1,36,-60,-4318,-1065,4448,1
-7,-35,-1,36,365,2143,2474,3293,1
9,94,-1419,1422,365,2143,2474,3293,1
9,94,-1419,1422,-4564,-4211,642,6243,1
-26,7,-1460,1460,-4564,-4211,642,6243,1
-26,7,-1460,1460,-53,2137,603,2221,1
-8,58,-1423,1424,-53,2137,603,2221,1
-8,58,-1423,1424,-4841,-3807,555,6184,1
0,63,-1400,1401,-4841,-3807,555,6184,1
0,63,-1400,1401,385,-100,572,697,1
-15,-30,7,34,385,-100,572,697,1
34,80,-1417,1420,385,-100,572,697,1
34,80,-1417,1420,-17,-28,635,636,1
-25,-7,40,48,-17,-28,635,636,1
-25,-7,40,48,-65,1653,2465,2969,1
-43,42,-1444,1445,-65,1653,2465,2969,1
-43,42,-1444,1445,-1715,-6326,-593,6581,1
-18,58,-1409,1410,-1715,-6326,-593,6581,1
-18,58,-1409,1410,1060,-69,663,1252,1
-18,-43,7,47,1060,-69,663,1252,1
-18,-43,7,47,-686,-52,-8,688,1
37,82,-1401,1404,-686,-52,-8,688,1
37,82,-1401,1404,-60,-61,1252,1255,1
-22,-4,46,51,-60,-61,1252,1255,1
-29,54,-1416,1417,-60,-61,1252,1255,1
-29,54,-1416,1417,532,-57,568,780,1
-6,77,-1399,1401,532,-57,568,780,1
-6,77,-1399,1401,-136,-13,-330,357,1
-15,-21,22,34,-136,-13,-330,357,1
-15,-21,22,34,831,-934,1535,1980,1
10,103,-1394,1398,831,-934,1535,1980,1
10,103,-1394,1398,-13,-93,-1055,1059,1
-32,-5,31,45,-13,-93,-1055,1059,1
-32,-5,31,45,1113,-682,1550,2026,1
-22,63,-1416,1418,1113,-682,1550,2026,1
-22,63,-1416,1418,-960,-93,558,1114,1
-32,71,-1434,1436,-960,-93,558,1114,1
-22,9,52,57,-960,-93,558,1114,1
-22,9,52,57,896,-76,2505,2662,1
24,82,-1418,1421,896,-76,2505,2662,1
24,82,-1418,1421,-122,17,571,584,1
-21,46,-1419,1420,-122,17,571,584,1
-21,46,-1419,1420,359,-57,620,719,1
-18,61,-1418,1419,359,-57,620,719,1
-18,61,-1418,1419,-31,-70,661,665,1
-38,73,-1435,1437,-31,-70,661,665,1
-28,23,29,46,-31,-70,661,665,1
-28,23,29,46,-89,-101,2572,2576,1
24,75,-1429,1431,-89,-101,2572,2576,1
24,75,-1429,1431,-92,-5288,592,5322,1
-17,54,-1403,1404,-92,-5288,592,5322,1
-17,54,-1403,1404,0,-18,1027,1027,1
-26,-8,36,45,0,-18,1027,1027,1
-26,-8,36,45,133,-3987,614,4036,1
29,72,-1425,1427,133,-3987,614,4036,1
29,72,-1425,1427,-1274,-51,632,1423,1
-22,-9,45,51,-1274,-51,632,1423,1
-22,-9,45,51,794,0,1260,1489,1
3,78,-1409,1411,794,0,1260,1489,1
-31,55,-1449,1450,794,0,1260,1489,1
-31,55,-1449,1450,88,-88,546,560,1
-46,29,-1448,1449,88,-88,546,560,1
-46,29,-1448,1449,854,-1164,613,1568,1
-39,74,-1409,1411,854,-1164,613,1568,1
-39,74,-1409,1411,-33,-383,588,703,1
-35,36,-1407,1408,-33,-383,588,703,1
-35,36,-1407,1408,-2484,-6087,569,6599,1
-28,47,-1444,1445,-2484,-6087,569,6599,1
-28,47,-1444,1445,-74,-101,2495,2498,1
-31,76,-1414,1416,-74,-101,2495,2498,1
-31,76,-1414,1416,-43,-94,-1310,1314,1
-38,59,-1405,1407,-43,-94,-1310,1314,1
-52,34,-1427,1428,-43,-94,-1310,1314,1
-52,34,-1427,1428,626,-58,1505,1631,1
-39,58,-1398,1400,626,-58,1505,1631,1
-39,58,-1398,1400,1119,-81,628,1286,1
-38,52,-1428,1429,1119,-81,628,1286,1
